post_content,hashtags,user_mentions,datetime,sentiment_scores,sentiment,topic
Visa Hotline update: Tour And Travel ? Australia Visa Information Part 2,,,2010-07-27T02:00:35.000Z,0.0,neutral,"visa hotline update tour, travel australia visa information part"
Update... The move to Australia: We are moving to Australia! This is exciting! Our long awaited visas h..,,,2009-06-05T10:45:56.000Z,0.5696,neutral,
Can I Get A Schegen Visa From Australia And Depart From India?,,,2010-01-21T03:14:29.000Z,0.0,neutral,schegen visa
Relevant Articles Update: Getting Vietnam Visa in Australia,,,2010-03-10T03:44:20.000Z,0.0,neutral,"relevant articles update, vietnam visa"
Relevant Articles Update: Study in Australia Visa Programs,,,2010-05-19T03:18:49.000Z,0.0,neutral,"relevant articles update study, australia visa programs"
TextNexus Update: New post: () ...,,,2009-12-03T20:53:35.000Z,0.0,neutral,"textnexus update, new post"
Relevant Articles Update: How to get a tourist visa for Australia?,,,2010-01-22T02:13:53.000Z,0.0,neutral,"relevant articles update, tourist visa"
Relevant Articles Update: What are the visa options for australia?,,,2010-05-09T15:18:47.000Z,0.0,neutral,"relevant articles update, visa options"
Relevant Articles Update: Visa And Immigration Information For Australia,,,2010-05-10T15:19:27.000Z,0.0,neutral,"relevant articles update visa, immigration information"
Relevant Articles Update: How a get a job offer from Australia for employer sponsor visa?,,,2010-01-23T02:14:19.000Z,0.0,neutral,"relevant articles update, employer sponsor visa"
"Relevant Articles Update: What type of visa do I need to go to Australia, New Zealand and Thailand?",,,2010-01-09T01:48:40.000Z,0.0,neutral,"relevant articles update, new zealand"
Relevant Articles Update: Australia Visa Services. Free Online Australian Immigration Assessment,,,2010-07-13T02:03:58.000Z,0.5106,positive,"relevant articles update australia visa services, free online australian immigration assessment"
Relevant Articles Update: Main Visa Options for Working Holiday Makers in Australia - Subclass 417 Visas,,,2010-06-28T02:39:42.000Z,0.4019,neutral,"relevant articles update, main visa options, holiday makers, australia subclass"
Relevant Articles Update: How does one going about obtaining a work visa in New Zealand or Australia?,,,2010-01-08T17:48:00.000Z,0.0,neutral,"relevant articles update, work visa, new zealand"
Relevant Articles Update: Can an international student in australia eligible to apply for a student visa for the US ?,,,2010-01-21T14:13:35.000Z,0.0,neutral,"relevant articles update, international student, student visa"
"Australia update: Migrant visas 'denying jobs to Aussies', says Labor MP Extract not available.",,,2010-03-09T02:11:51.000Z,-0.34,negative,"australia update migrant visas, labor mp extract"
@Urgo I am in US and she is in Australia...i cant be there i get my updates via im...im awaiting VISA to go there...so please,,@Urgo,2009-04-18T07:38:13.000Z,0.3182,neutral,"australia cant, im im"
THOSE WHO DONT KNOW MY GF IS VERY ILL...SHE AUSTRALIA IM HERE AWAITIN VISA APRVAL...I GET UPDATES VIA IM...PLEASE PRAY FOR HER AND ME---RT,,,2009-04-18T07:23:02.000Z,0.3182,neutral,"australia im, awaitin visa aprval"
reading the updates on 457 visas,,,2009-05-15T22:28:15.000Z,0.0,neutral,
Australian Capital Territory's governtment updates its skills shortage list for sponsored visas,,,2009-04-06T01:57:23.000Z,-0.25,negative,"australian capital territory governtment updates, skills shortage list"
"Penny Wong smiling, having completed another international engagement. This time with Papua New Guinea and Andrew Giles delivering great changes to Visa processing. The reduction in processing times has been a great success.",,,2023-02-17T10:23:43.000Z,0.9578,positive,"penny wong, international engagement, new guinea, andrew giles, great changes, visa processing, processing times, great success"
2. H.E. Clare assured speedy resolving of visa issues for Indian students enrolled in universities and educational institutions in Australia. I whole-heartedly welcomed this progressive step.,,,2022-07-21T07:55:53.000Z,0.7579,positive,"e clare, visa issues, indian students, educational institutions, progressive step"
What great news for visas TPV and SHEV visas are now into a prominent Australia visa Thanks to the @AlboMP government for this great move so many people ware waiting for over 10 year @andrewjgiles we are proud of your great wwork.,,"@AlboMP, @andrewjgiles, @JEChalmers, @MiltonDickMP, @ShannonFentiman",2023-02-09T04:47:11.000Z,0.9697,positive,"great news, visas tpv, shev visas, prominent australia visa thanks, albomp government, people ware, year andrewjgiles, great wwork"
"Study in Australia Update !--------------------------------Australian Government, Department of Home Affairs (DHA) has made some major changes in Visa Application Charge to be implemented today itself.",,,2024-07-01T04:25:34.000Z,0.0,neutral,"australia update australian government department, affairs dha, major changes, visa application charge"
update: Haneef wins Australia visa appeal (An Indian doctor briefly linked to UK terror attacks wins a court...),,,2007-12-21T05:01:06.000Z,0.2732,negative,"update haneef, australia visa appeal, indian doctor, uk terror attacks"
update: Australia visa win for Haneef (An Indian doctor briefly linked to UK terror attacks wins a court bat...),,,2007-12-21T08:30:34.000Z,0.296,negative,"update australia visa, indian doctor, uk terror attacks, court bat"
update: Haneef in Australia visa appeal win (An Indian doctor briefly linked to UK terror attacks wins a cou...),,,2007-12-21T13:00:28.000Z,0.296,negative,"update haneef, australia visa appeal, indian doctor, uk terror attacks"
"Everyone, we are making important progress together, please click on the link below to email @AlexHawkeMP the Immigration Minister who has the power also to allow Tharni to apply for a visa.","hometobilo, HometoBiloela",@AlexHawkeMP,2021-06-10T00:46:42.000Z,0.7783,neutral,"important progress, email alexhawkemp, immigration minister"
