post_title,datetime,sentiment_scores,sentiment,topic
"When it comes to migration, we must separate fact from fiction – and be sceptical of political tough talk | Alan Gamlen",2024-05-20T02:55:50Z,-0.4019,negative,key events
Alexander Downer features in UK video promoting Britain’s ‘new plan for immigration’,2022-04-18T10:56:39Z,0.3612,neutral,key individuals
Alexander Downer features in UK video promoting Britain’s ‘new plan for immigration’,2022-04-18T10:56:39Z,0.3612,neutral,international relations
Alexander Downer features in UK video promoting Britain’s ‘new plan for immigration’,2022-04-18T10:56:39Z,0.3612,neutral,government policy
Never mind the bollocks: Albanese’s non-gaffe on immigration was just media hysteria | Katharine Murphy,2022-04-15T01:58:16Z,-0.4404,negative,government policy
Never mind the bollocks: Albanese’s non-gaffe on immigration was just media hysteria | Katharine Murphy,2022-04-15T01:58:16Z,-0.4404,negative,controversies
"Morning Mail: Labor reveals visa fix, politics at the Arias, India through to World Cup final",2023-11-15T20:02:33Z,0.0,neutral,government policy
"Morning Mail: Labor reveals visa fix, politics at the Arias, India through to World Cup final",2023-11-15T20:02:33Z,0.0,neutral,key individuals
"Morning Mail: Labor reveals visa fix, politics at the Arias, India through to World Cup final",2023-11-15T20:02:33Z,0.0,neutral,world cup
"Hong Kong withholds British lawyer’s visa, delaying Jimmy Lai trial",2022-12-01T06:19:14Z,0.0,neutral,international relations
"Hong Kong withholds British lawyer’s visa, delaying Jimmy Lai trial",2022-12-01T06:19:14Z,0.0,neutral,key individuals
Iranian refugee Mehdi Ali released after nine years in Australian immigration detention,2022-03-03T21:10:58Z,-0.3612,negative,key individuals
Iranian refugee Mehdi Ali released after nine years in Australian immigration detention,2022-03-03T21:10:58Z,-0.3612,negative,australian immigration policy
"Three years after beating deportation, Indigenous Australians freed from visa limbo",2023-01-29T14:00:53Z,-0.0772,negative,controversies
"Three years after beating deportation, Indigenous Australians freed from visa limbo",2023-01-29T14:00:53Z,-0.0772,negative,visa limbo
"Villawood, Australia’s largest immigration detention centre, said to be ‘awash with drugs’",2022-02-20T16:30:08Z,-0.3612,negative,detention policy
"Villawood, Australia’s largest immigration detention centre, said to be ‘awash with drugs’",2022-02-20T16:30:08Z,-0.3612,negative,government policy
"Australia raises permanent migration cap to 195,000 to ease workforce shortages",2022-09-02T01:13:09Z,0.2263,negative,government policy
"Australia raises permanent migration cap to 195,000 to ease workforce shortages",2022-09-02T01:13:09Z,0.2263,negative,permanent residency
"Australia raises permanent migration cap to 195,000 to ease workforce shortages",2022-09-02T01:13:09Z,0.2263,negative,employment
New Zealand loses appeal to rich foreigners as investor visa numbers plunge,2023-04-06T05:47:02Z,0.3182,negative,new zealand
New Zealand loses appeal to rich foreigners as investor visa numbers plunge,2023-04-06T05:47:02Z,0.3182,negative,investment visa
New Zealand loses appeal to rich foreigners as investor visa numbers plunge,2023-04-06T05:47:02Z,0.3182,negative,investment visa
Novak Djokovic to face immigration officials after Australian visa cancelled again,2022-01-14T12:35:49Z,-0.25,negative,key individuals
Novak Djokovic to face immigration officials after Australian visa cancelled again,2022-01-14T12:35:49Z,-0.25,negative,immigration policy
Novak Djokovic to face immigration officials after Australian visa cancelled again,2022-01-14T12:35:49Z,-0.25,negative,visa application
"Migration has been blamed for the housing crisis, but it’s not that simple",2024-05-29T15:00:05Z,-0.5574,negative,
"Thousands of Australian visa decisions may be affected by high court ruling, experts warn",2023-04-13T15:00:48Z,-0.25,negative,visa application
"Thousands of Australian visa decisions may be affected by high court ruling, experts warn",2023-04-13T15:00:48Z,-0.25,negative,immigration policy
"Asylum seekers, families allegedly threatened after Australian immigration data breach",2021-12-12T22:49:29Z,-0.4588,negative,asylum policy
"Asylum seekers, families allegedly threatened after Australian immigration data breach",2021-12-12T22:49:29Z,-0.4588,negative,controversies
"Australia holding people in immigration detention for record 689 days on average, report finds",2022-02-16T00:49:34Z,-0.3612,negative,immigration policy
"Australia holding people in immigration detention for record 689 days on average, report finds",2022-02-16T00:49:34Z,-0.3612,negative,news
"Morning Mail: Dutton’s visa call, $100bn fossil fuel tax proposed, Kremlin adds to most wanted list",2024-02-13T19:57:31Z,0.0,neutral,key individuals
"Morning Mail: Dutton’s visa call, $100bn fossil fuel tax proposed, Kremlin adds to most wanted list",2024-02-13T19:57:31Z,0.0,neutral,economy
"Morning Mail: Muslim leaders boycott state dinners, businessman visa case, Palmer claims anti-vaccine mandate ‘victory’",2024-02-27T19:57:06Z,-0.3182,negative,controversies
"Morning Mail: Muslim leaders boycott state dinners, businessman visa case, Palmer claims anti-vaccine mandate ‘victory’",2024-02-27T19:57:06Z,-0.3182,negative,health requirements
How Australia’s handling of Djokovic exposed its flawed immigration system to the world,2022-01-11T16:30:22Z,-0.5267,negative,immigration policy
International students left feeling like ‘cash cows’ after Albanese government raises visa fees,2024-07-06T20:00:48Z,0.4588,positive,education
International students left feeling like ‘cash cows’ after Albanese government raises visa fees,2024-07-06T20:00:48Z,0.4588,positive,controversies
International students left feeling like ‘cash cows’ after Albanese government raises visa fees,2024-07-06T20:00:48Z,0.4588,positive,government policy
‘It’s very unfair’: Australia’s visa crackdown is disrupting international students and hitting university finances,2024-05-05T02:00:03Z,0.0,neutral,controversies
‘It’s very unfair’: Australia’s visa crackdown is disrupting international students and hitting university finances,2024-05-05T02:00:03Z,0.0,neutral,education
‘It’s very unfair’: Australia’s visa crackdown is disrupting international students and hitting university finances,2024-05-05T02:00:03Z,0.0,neutral,education
Relatives ‘surprised and shocked’ after 68-year-old Gaza woman’s Australian visa cancelled on security grounds,2024-04-25T15:00:27Z,0.1027,negative,key individuals
Relatives ‘surprised and shocked’ after 68-year-old Gaza woman’s Australian visa cancelled on security grounds,2024-04-25T15:00:27Z,0.1027,negative,visa eligibility
"As we celebrate the permanent residency granted to Sydney’s ‘bollard man’, visa uncertainty looms over others | Shankar Kasynathan",2024-04-19T01:33:39Z,0.4019,negative,permanent residency
"As we celebrate the permanent residency granted to Sydney’s ‘bollard man’, visa uncertainty looms over others | Shankar Kasynathan",2024-04-19T01:33:39Z,0.4019,negative,key individuals
"As we celebrate the permanent residency granted to Sydney’s ‘bollard man’, visa uncertainty looms over others | Shankar Kasynathan",2024-04-19T01:33:39Z,0.4019,negative,key individuals
Coalition plan to privatise visa processing to be subject of new inquiry,2023-11-30T06:51:00Z,0.0,neutral,government policy
Coalition plan to privatise visa processing to be subject of new inquiry,2023-11-30T06:51:00Z,0.0,neutral,visa processing
Coalition plan to privatise visa processing to be subject of new inquiry,2023-11-30T06:51:00Z,0.0,neutral,key events
Australia to investigate how Palestinians crossed Gaza border after government suspends visas,2024-03-15T07:24:31Z,0.0,neutral,international relations
Australia to investigate how Palestinians crossed Gaza border after government suspends visas,2024-03-15T07:24:31Z,0.0,neutral,government policy
‘Power imbalance’: how Australia’s visa system leaves migrants beholden to their employers,2023-09-03T00:00:18Z,0.0,neutral,social policy
‘Power imbalance’: how Australia’s visa system leaves migrants beholden to their employers,2023-09-03T00:00:18Z,0.0,neutral,visa processing
China and Australia agree to new multi-entry visa as Albanese touts improved relationship after thaw,2023-11-07T07:44:26Z,0.6705,neutral,visa application
China and Australia agree to new multi-entry visa as Albanese touts improved relationship after thaw,2023-11-07T07:44:26Z,0.6705,neutral,government policy
Afternoon Update: PM says Coalition ‘just wrong’ on visas; ex-Ten presenter and partner missing; and can you remember these ‘best picture’ films?,2024-02-22T06:42:50Z,-0.296,negative,news
Afternoon Update: PM says Coalition ‘just wrong’ on visas; ex-Ten presenter and partner missing; and can you remember these ‘best picture’ films?,2024-02-22T06:42:50Z,-0.296,negative,visa application
Afternoon Update: PM says Coalition ‘just wrong’ on visas; ex-Ten presenter and partner missing; and can you remember these ‘best picture’ films?,2024-02-22T06:42:50Z,-0.296,negative,community events
"Morning Mail: Australia win thriller to reach World Cup final, Labor dissent over visa law, Optus outage outrage",2023-11-16T19:53:15Z,0.25,negative,world cup
"Morning Mail: Australia win thriller to reach World Cup final, Labor dissent over visa law, Optus outage outrage",2023-11-16T19:53:15Z,0.25,negative,government policy
"Morning Mail: Australia win thriller to reach World Cup final, Labor dissent over visa law, Optus outage outrage",2023-11-16T19:53:15Z,0.25,negative,visa application
"Palestinians who had Australian visas cancelled mid-flight are ‘collateral damage’, charity group says",2024-03-15T14:00:37Z,0.2023,negative,visa applications
"Palestinians who had Australian visas cancelled mid-flight are ‘collateral damage’, charity group says",2024-03-15T14:00:37Z,0.2023,negative,key events
"Palestinians who had Australian visas cancelled mid-flight are ‘collateral damage’, charity group says",2024-03-15T14:00:37Z,0.2023,negative,key events
Labor targets student and some worker visas in overhaul of Australia’s temporary migration program,2023-12-10T14:00:54Z,0.0,neutral,education
Labor targets student and some worker visas in overhaul of Australia’s temporary migration program,2023-12-10T14:00:54Z,0.0,neutral,work visa
Labor targets student and some worker visas in overhaul of Australia’s temporary migration program,2023-12-10T14:00:54Z,0.0,neutral,temporary migration
Peter Dutton doubles down on call to cancel visas of antisemitic protesters,2023-10-13T00:31:06Z,-0.4404,negative,key individuals doubles
Peter Dutton doubles down on call to cancel visas of antisemitic protesters,2023-10-13T00:31:06Z,-0.4404,negative,controversies
O’Neil accuses Dutton of politicising national security on visas for Israel-Palestine conflict: as it happened,2023-11-24T06:40:28Z,-0.3182,negative,key individuals
O’Neil accuses Dutton of politicising national security on visas for Israel-Palestine conflict: as it happened,2023-11-24T06:40:28Z,-0.3182,negative,national security
O’Neil accuses Dutton of politicising national security on visas for Israel-Palestine conflict: as it happened,2023-11-24T06:40:28Z,-0.3182,negative,international relations
"GPs aiding international student agents to exploit Australian visa ‘loophole’, inquiry hears",2023-05-15T08:34:10Z,-0.1027,negative,education
"GPs aiding international student agents to exploit Australian visa ‘loophole’, inquiry hears",2023-05-15T08:34:10Z,-0.1027,negative,visa processing
"Asylum seeker walking 1,000km from Ballarat to Sydney to raise awareness about life in visa limbo",2023-07-31T22:00:04Z,0.0,neutral,asylum policy
"Asylum seeker walking 1,000km from Ballarat to Sydney to raise awareness about life in visa limbo",2023-07-31T22:00:04Z,0.0,neutral,visa limbo
"The moment I knew: our visa situation made things complicated – then he proposed, hypothetically",2023-06-17T20:00:23Z,0.0,neutral,visa application
